Year,Category,Status,Person,PersonId,Movie,MovieId,AssociatedPeople,AssociatedIds
1934,"BestShortSubject,Comedy",Nominee,,,A Preferred List,tt0024467,['Lou Brock'],['nm0110607']
1934,"BestShortSubject,Novelty",Winner,,,Krakatoa,tt0024231,['Joe Rock'],['nm0734169']
1934,"BestShortSubject,Novelty",Nominee,,,Menu,tt0024327,['Pete Smith'],['nm0809570']
1934,"BestShortSubject,Novelty",Nominee,,,Morze,tt0023443,[],[]
1934,"BestSound,Recording",Winner,,,Adiós a las armas,tt0022879,['Franklin Hansen'],['nm0360630']
1934,"BestSound,Recording",Nominee,,,La calle 42,tt0024034,['Nathan Levinson'],['nm0506080']
1934,"BestSound,Recording",Nominee,,,Vampiresas 1933,tt0024069,['Nathan Levinson'],['nm0506080']
1934,"BestSound,Recording",Nominee,,,Soy un fugitivo,tt0023042,['Nathan Levinson'],['nm0506080']
1934,"BestWriting,Adaptation",Winner,,,Las cuatro hermanitas,tt0024264,"['Victor Heerman', 'Sarah Y. Mason']","['nm0373511', 'nm0556945']"
1934,"BestWriting,Adaptation",Nominee,,,Dama por un día,tt0024240,['Robert Riskin'],['nm0728307']
